"Year","U.S. Production","Log. Logistic","Log. Gaussian","Reserves"
2131,,"2908875.66633318","6045025.18060636",-325500000
2132,,"2908883.63492919","6063236.55217778",-328408884
2133,,"2908891.21818645","6081399.30416611",-331317775
2134,,"2908898.43473778","6099513.6844627 ",-334226674
2135,,"2908905.30231514","6117579.93914478",-337135579
2136,,"2908911.83779314","6135598.31249138",-340044491
2137,,"2908918.05723053","6153569.0469993 ",-342953409
2138,,"2908923.97590958","6171492.38339883",-345862333
2139,,"2908929.60837367","6189368.56066932",-348771262
2140,,"2908934.96846296","6207197.81605465",-351680197
2141,,"2908940.06934844","6224980.38507867",-354589137
2142,,"2908944.92356422","6242716.50156026",-357498082
2143,,"2908949.54303839","6260406.39762849",-360407032
2144,,"2908953.93912225","6278050.30373757",-363315986
2145,,"2908958.12261825","6295648.44868161",-366224944
2146,,"2908962.10380648","6313201.05960933",-369133906
2147,,"2908965.89246997","6330708.36203858",-372042872
2148,,"2908969.49791866","6348170.57987078",-374951841
2149,,"2908972.92901237","6365587.93540519",-377860814
2150,,"2908976.19418245","6382960.64935308",-380769791
2151,,"2908979.30145258","6400288.94085169",-383678770
2152,,"2908982.25845845","6417573.02747827",-386587752
2153,,"2908985.07246651","6434813.12526366",-389496737
2154,,"2908987.75039185","6452009.44870608",-392405725
2155,,"2908990.29881517","6469162.21078457",-395314715
2156,,"2908992.72399894","6486271.6229724 ",-398223708
2157,,"2908995.03190282","6503337.89525032",-401132703
2158,,"2908997.22819827","6520361.23611975",-404041700
2159,,"2908999.31828249","6537341.85261569",-406950700
2160,,"2909001.3072917 ","6554279.95031975",-409859701
2161,,"2909003.20011374","6571175.73337278",-412768704
2162,,"2909005.00140011","6588029.40448763",-415677709
2163,,"2909006.71557734","6604841.16496161",-418586716
2164,,"2909008.34685791","6621611.21468893",-421495724
2165,,"2909009.89925064","6638339.75217302",-424404734
2166,,"2909011.37657043","6655026.97453861",-427313745
2167,,"2909012.78244775","6671673.07754388",-430222758
2168,,"2909014.12033748","6688278.25559235",-433131772
2169,,"2909015.39352743","6704842.70174474",-436040788
2170,,"2909016.60514643","6721366.60773067",-438949804
2171,,"2909017.758172  ","6737850.1639602 ",-441858822
2172,,"2909018.85543767","6754293.55953543",-444767841
2173,,"2909019.89963995","6770696.9822618 ",-447676861
2174,,"2909020.89334493","6787060.61865932",-450585882
2175,,"2909021.83899465","6803384.65397383",-453494904
2176,,"2909022.73891302","6819669.27218797",-456403926
2177,,"2909023.59531158","6835914.65603214",-459312950
2178,,"2909024.41029492","6852120.98699533",-462221974
2179,,"2909025.18586585","6868288.44533584",-465131000
2180,,"2909025.92393035","6884417.21009195",-468040025
2181,,"2909026.62630221","6900507.45909235",-470949052
2182,,"2909027.29470751","6916559.36896666",-473858079
2183,,"2909027.93078885","6932573.11515563",-476767107
2184,,"2909028.5361094 ","6948548.87192149",-479676136
2185,,"2909029.11215675","6964486.8123579 ",-482585165
2186,,"2909029.66034655","6980387.10840015",-485494195
2187,,"2909030.18202596","6996249.93083487",-488403225
2188,,"2909030.67847702","7012075.44931006",-491312255
2189,,"2909031.15091976","7027863.83234462",-494221287
2190,,"2909031.60051524","7043615.24733815",-497130318
2191,,"2909032.02836833","7059329.8605803 ",-500039350
2192,,"2909032.43553047","7075007.83726041",-502948383
2193,,"2909032.82300229","7090649.34147668",-505857415
2194,,"2909033.19173602","7106254.53624557",-508766449
2195,,"2909033.5426378 ","7121823.58351078",-511675482
2196,,"2909033.87657   ","7137356.64415257",-514584516
2197,,"2909034.19435326","7152853.87799654",-517493550
2198,,"2909034.49676854","7168315.44382257",-520402585
2199,,"2909034.78455903","7183741.49937376",-523311620
2200,,"2909035.058432  ","7199132.20136495",-526220655
2201,,"2909035.31906047","7214487.70549151",-529129690
2202,,"2909035.56708496","7229808.16643784",-532038726
2203,,"2909035.803115  ","7245093.73788583",-534947761
2204,,"2909036.02773063","7260344.57252329",-537856797
2205,,"2909036.24148385","7275560.82205219",-540765834
2206,,"2909036.44489997","7290742.63719691",-543674870
2207,,"2909036.63847889","7305890.16771243",-546583907
2208,,"2909036.82269634","7321003.56239233",-549492944
2209,,"2909036.99800503","7336082.96907676",-552401981
2210,,"2909037.1648358 ","7351128.53466045",-555311018
2211,,"2909037.32359863","7366140.4051004 ",-558220055
2212,,"2909037.47468369","7381118.72542378",-561129092
2213,,"2909037.61846228","7396063.63973544",-564038130
2214,,"2909037.75528773","7410975.29122567",-566947168
2215,,"2909037.88549631","7425853.82217763",-569856206
2216,,"2909038.00940799","7440699.37397484",-572765244
2217,,"2909038.12732731","7455512.08710857",-575674282
2218,,"2909038.23954404","7470292.10118512",-578583320
2219,,"2909038.34633397","7485039.55493306",-581492358
2220,,"2909038.44795955","7499754.58621044",-584401397
2221,,"2909038.54467049","7514437.33201187",-587310435
2222,,"2909038.63670451","7529087.92847553",-590219474
2223,,"2909038.72428775","7543706.51089014",-593128513
2224,,"2909038.80763547","7558293.21370186",-596037552
2225,,"2909038.88695249","7572848.17052116",-598946590
2226,,"2909038.96243373","7587371.51412952",-601855629
2227,,"2909039.03426471","7601863.37648615",-604764668
2228,,"2909039.10262192","7616323.88873459",-607673708
2229,,"2909039.16767339","7630753.18120938",-610582747
2230,,"2909039.22957896","7645151.38344245",-613491786
2231,,"2909039.28849079","7659518.62416965",-616400825
2232,,"2909039.34455362","7673855.03133705",-619309865
2233,,"2909039.39790527","7688160.73210736",-622218904
2234,,"2909039.44867682","7702435.85286606",-625127943
2235,,"2909039.49699306","7716680.51922774",-628036983
2236,,"2909039.54297272","7730894.8560421 ",-630946023
2237,,"2909039.5867288 ","7745078.98740022",-633855062
2238,,"2909039.62836884","7759233.03664034",-636764102
2239,,"2909039.66799516","7773357.12635403",-639673141
2240,,"2909039.70570515","7787451.378392  ",-642582181
2241,,"2909039.7415915 ","7801515.91386999",-645491221
2242,,"2909039.77574237","7815550.85317451",-648400261
2243,,"2909039.8082417 ","7829556.31596869",-651309300
2244,,"2909039.83916936","7843532.42119785",-654218340
2245,,"2909039.86860136","7857479.28709524",-657127380
2246,,"2909039.89661004","7871397.03118751",-660036420
2247,,"2909039.9232642 ","7885285.77030031",-662945460
2248,,"2909039.94862938","7899145.62056376",-665854500
2249,,"2909039.97276789","7912976.69741791",-668763540
2250,,"2909039.99573906","7926779.11561799",-671672580
2251,,"2909040.01759934","7940552.98923986",-674581620
2252,,"2909040.03840246","7954298.43168521",-677490660
